GeneID,Base mean,log2(FC),StdErr,Wald-Stats,P-value,P-adj
gene-BTH_RS04375,4826.7361,-4.256370214,0.143780717,-29.6032063,1.36E-192,5.37E-190
gene-BTH_RS01185,894.0636468,-4.208932724,0.195468892,-21.53249392,7.73E-103,1.77E-100
gene-BTH_RS04370,5725.323446,-4.103104602,0.149425709,-27.45916095,5.40E-166,1.96E-163
gene-BTH_RS04385,3213.313479,-4.056622872,0.16947121,-23.93694403,1.26E-126,3.23E-124
gene-BTH_RS04365,4039.781464,-3.885778982,0.124323071,-31.25549382,1.88E-214,9.08E-212
gene-BTH_RS04380,272.7530431,-3.860198517,0.253876305,-15.20503661,3.27E-52,3.85E-50
gene-BTH_RS01195,765.0950792,-3.846468942,0.224545858,-17.12999288,8.87E-66,1.38E-63
gene-BTH_RS04360,680.7019861,-3.564397339,0.194997778,-18.27916896,1.21E-74,2.11E-72
gene-BTH_RS04390,2739.815539,-3.560527859,0.144014534,-24.72339249,5.99E-135,1.63E-132
gene-BTH_RS04405,4601.439425,-3.427872105,0.130487666,-26.26970201,4.26E-152,1.42E-149
gene-BTH_RS25830,985.3891626,3.249713662,0.139507682,23.29415568,5.08E-120,1.23E-117
gene-BTH_RS34680,910.9574534,4.071201642,0.13453362,30.26159285,3.67E-201,1.60E-198
gene-BTH_RS25840,1237.293376,4.809687593,0.137267697,35.0387433,5.79E-269,3.14E-266
gene-BTH_RS25845,2175.625027,4.992778693,0.129072571,38.68194975,0,0
gene-BTH_RS25850,2316.241102,5.448942615,0.137223853,39.70842166,0,0
gene-BTH_RS25855,5666.35248,5.515574791,0.116257635,47.4426887,0,0
gene-BTH_RS25875,7601.421397,5.607566055,0.111361295,50.35471283,0,0
gene-BTH_RS25865,10757.83916,5.704179591,0.11633281,49.03328286,0,0
gene-BTH_RS25870,9472.679531,5.773958104,0.120296927,47.9975527,0,0
gene-BTH_RS25860,8887.071017,5.77658661,0.10569907,54.65125295,0,0
