GeneID	Base mean	log2(FC)	StdErr	Wald-Stats	P-value	P-adj
gene-BTH_RS25845	2175.62502733311	4.99277869323287	0.12907257067558	38.6819497519892	0	0
gene-BTH_RS25850	2316.24110157007	5.44894261543221	0.137223852954423	39.7084216637031	0	0
gene-BTH_RS25855	5666.35247966921	5.51557479091405	0.116257635100362	47.4426886987046	0	0
gene-BTH_RS25860	8887.07101703474	5.77658660960859	0.105699069973032	54.6512529493628	0	0
gene-BTH_RS25865	10757.8391598999	5.7041795911882	0.116332810255327	49.033282860344	0	0
gene-BTH_RS25870	9472.67953100312	5.77395810429629	0.120296927225911	47.9975527010189	0	0
gene-BTH_RS25875	7601.42139660554	5.60756605451201	0.111361295484942	50.3547128299191	0	0
gene-BTH_RS25840	1237.29337601062	4.80968759258516	0.137267696826632	35.0387433006889	5.78671831529756e-269	3.1436347247854e-266
gene-BTH_RS04365	4039.78146417695	-3.88577898225981	0.124323071165809	-31.2554938180169	1.87996930116109e-214	9.07816286982898e-212
gene-BTH_RS34680	910.957453368395	4.07120164217174	0.13453362029599	30.2615928510258	3.67239131178105e-201	1.59602126410005e-198
gene-BTH_RS04375	4826.73609966503	-4.25637021363269	0.143780716557827	-29.6032062958931	1.35881699908527e-192	5.36856243456781e-190
gene-BTH_RS04370	5725.32344637127	-4.10310460186627	0.149425709285374	-27.4591609535554	5.40082771131459e-166	1.95599976944777e-163
gene-BTH_RS04405	4601.43942513713	-3.42787210466341	0.13048766608679	-26.2697020144684	4.25740874232719e-152	1.423284491858e-149
gene-BTH_RS09590	9521.6300897375	2.98179113048516	0.115003961183132	25.9277254436215	3.24311451195617e-148	1.00675540492582e-145
gene-BTH_RS09595	3652.5910041795	3.10334885689165	0.122497497075817	25.3339776809554	1.3495829710332e-141	3.91019172807352e-139
gene-BTH_RS04390	2739.8155390787	-3.56052785904628	0.144014534451698	-24.7233924867526	5.99393995043148e-135	1.62810393903595e-132
gene-BTH_RS04385	3213.31347922026	-4.05662287178222	0.16947121013669	-23.9369440302591	1.26380226836575e-126	3.23087332842208e-124
gene-BTH_RS25830	985.389162594408	3.24971366164186	0.139507681913497	23.2941556842502	5.08115339455681e-120	1.22681625848577e-117
gene-BTH_RS01185	894.06364678932	-4.2089327237573	0.195468891775939	-21.5324939202187	7.72620327739261e-103	1.76726733913412e-100
gene-BTH_RS04425	1497.67438213477	-3.29892076113237	0.16608985960555	-19.8622647340846	8.63286156142664e-88	1.87592081729801e-85
gene-BTH_RS06270	8428.38659642093	-1.80069515784833	0.0954728661213748	-18.8608054937735	2.39542684407487e-79	4.95739288778541e-77
