GeneID	Base mean	log2(FC)	StdErr	Wald-Stats	P-value	P-adj		egtBmutant 1 featureCounts on dataset 150 and 161: Counts	egtBmutant 2 featureCounts on dataset 149 and 161: Counts	egtBmutant 3 featureCounts on dataset 148 and 161: Counts	Wildtype featureCounts on dataset 153 and 161: Counts	Wildtype 2 featureCounts on dataset 152 and 161: Counts	Wildtype 3 featureCounts on dataset 151 and 161: Counts
gene-BTH_RS04375	4826.7361	-4.256370214	0.143780717	-29.6032063	1.36E-192	5.37E-190	gene-BTH_RS04375	9342.37953463203	10323.7669656494	7934.79127806964	454.220601935389	393.111410650215	512.146807053519
gene-BTH_RS01185	894.0636468	-4.208932724	0.195468892	-21.53249392	7.73E-103	1.77E-100	gene-BTH_RS01185	1600.28377128152	2158.11087775051	1359.55936354791	84.8649956906884	80.5823944269139	80.980478038377
gene-BTH_RS04370	5725.323446	-4.103104602	0.149425709	-27.45916095	5.40E-166	1.96E-163	gene-BTH_RS04370	10835.6563790387	12366.7428958276	9369.88171737021	571.874345961116	515.073953566626	692.711386463414
gene-BTH_RS04385	3213.313479	-4.056622872	0.16947121	-23.93694403	1.26E-126	3.23E-124	gene-BTH_RS04385	5776.44599850533	7177.63758431332	5313.35940894725	304.742484525654	289.661039426474	418.034359603514
gene-BTH_RS04365	4039.781464	-3.885778982	0.124323071	-31.25549382	1.88E-214	9.08E-212	gene-BTH_RS04365	7228.26970907759	8128.17029101485	7403.0525047709	439.754977669931	478.049610181287	561.391692347127
gene-BTH_RS04380	272.7530431	-3.860198517	0.253876305	-15.20503661	3.27E-52	3.85E-50	gene-BTH_RS04380	526.358397060065	651.538850602925	370.605811693061	27.9668735798859	28.3127331770238	31.7355927447694
gene-BTH_RS01195	765.0950792	-3.846468942	0.224545858	-17.12999288	8.87E-66	1.38E-63	gene-BTH_RS01195	1312.03988717719	1967.11181743678	1050.38549346702	81.9718708375967	82.7602969789927	96.3011090186105
gene-BTH_RS04360	680.7019861	-3.564397339	0.194997778	-18.27916896	1.21E-74	2.11E-72	gene-BTH_RS04360	1258.05441055565	1399.46975033615	1135.98737932003	106.08124461336	65.3370765623626	119.282055488961
gene-BTH_RS04390	2739.815539	-3.560527859	0.144014534	-24.72339249	5.99E-135	1.63E-132	gene-BTH_RS04390	5303.10905169857	5397.06223232314	4512.73000596904	390.571855167373	352.820213436758	482.599875877355
gene-BTH_RS04405	4601.439425	-3.427872105	0.130487666	-26.26970201	4.26E-152	1.42E-149	gene-BTH_RS04405	8734.07889627141	7463.2436558105	9147.31681415237	680.848715427568	735.04211132658	848.106357834354
gene-BTH_RS25830	985.3891626	3.249713662	0.139507682	23.29415568	5.08E-120	1.23E-117	gene-BTH_RS25830	203.409563699036	152.620744456302	185.30290584653	1709.83678817716	1866.46248713149	1794.70248625592
gene-BTH_RS34680	910.9574534	4.071201642	0.13453362	30.26159285	3.67E-201	1.60E-198	gene-BTH_RS34680	101.222768665397	92.8219732365811	98.6939389834782	1712.72991303026	1771.72372611607	1688.55240017859
gene-BTH_RS25840	1237.293376	4.809687593	0.137267697	35.0387433	5.79E-269	3.14E-266	gene-BTH_RS25840	77.1221094593502	87.4668593960092	75.5310757526619	2376.21987933927	2431.62819939593	2375.79213272049
gene-BTH_RS25845	2175.625027	4.992778693	0.129072571	38.68194975	0	0	gene-BTH_RS25845	114.719137820783	129.415251147156	131.927612314649	4213.35416105247	4494.10191621451	3970.23208544908
gene-BTH_RS25850	2316.241102	5.448942615	0.137223853	39.70842166	0	0	gene-BTH_RS25850	96.4026368241877	100.854643997439	92.6514529232652	4279.89603267358	4961.2620136354	4366.37982936654
gene-BTH_RS25855	5666.35248	5.515574791	0.116257635	47.4426887	0	0	gene-BTH_RS25855	217.869959222664	259.723021267742	213.501174127524	10748.9232041865	11386.0745422677	11172.0229769431
gene-BTH_RS25875	7601.421397	5.607566055	0.111361295	50.35471283	0	0	gene-BTH_RS25875	267.999330371242	319.521792487462	287.018087860115	14654.6417558602	15612.2944445766	14467.0529684776
gene-BTH_RS25865	10757.83916	5.704179591	0.11633281	49.03328286	0	0	gene-BTH_RS25865	328.73299157048	415.021322644329	409.881971084445	21173.8164248267	21205.1481983148	21014.4340509588
gene-BTH_RS25870	9472.679531	5.773958104	0.120296927	47.9975527	0	0	gene-BTH_RS25870	285.351804999596	332.909577088892	346.435867452209	18170.7528273176	20191.3345603221	17509.2925488383
gene-BTH_RS25860	8887.071017	5.77658661	0.10569907	54.65125295	0	0	gene-BTH_RS25860	313.30856967861	311.489121726604	290.039330890222	16866.9178935243	17038.8206161881	18501.8505702005
