GeneID	Base mean	log2(FC)	StdErr	Wald-Stats	P-value	P-adj
gene-J2S48_RS20875	4315.81681438768	-5.24838131174479	0.279240129568325	-18.7952258862586	8.26276293732193e-79	2.89444585694387e-75
gene-J2S48_RS20100	16788.1202286816	-7.60868107711821	0.429964439564059	-17.6960705979142	4.49603991943121e-70	7.87481391888377e-67
gene-J2S48_RS06520	1608.58286999565	-4.94558536349653	0.303293923022569	-16.3062461463447	8.91030186999878e-60	1.04042624835352e-56
rna-J2S48_RS07170	905.14490994612	-7.33191404298349	0.456139220498405	-16.0738513889953	3.89139344591948e-58	3.40788781026398e-55
rna-J2S48_RS12480	1516.02432856795	-7.85929769358878	0.490129940980702	-16.0351307611673	7.26305649026817e-58	5.08849737708188e-55
MSTRG.97.1	30902.4723753917	-7.55012906056535	0.512154032802116	-14.7419107865983	3.46830921094337e-49	2.02491452765577e-46
rna-J2S48_RS12475	621.267723961369	-5.37383034442897	0.375084454410473	-14.3269876456893	1.48420098126172e-46	7.42736576765684e-44
gene-J2S48_RS16660	7572.99540398537	4.86020816142695	0.339820828239426	14.3022668345762	2.11796615426098e-46	9.27404429797027e-44
MSTRG.767.1	8955.62601054122	-4.63366681400476	0.336740381451339	-13.7603538786582	4.41361173851802e-43	1.71787576889207e-40
gene-J2S48_RS02325	885.950671232426	-10.302128840143	0.767334183085043	-13.4258698064559	4.2654649533156e-41	1.49419237314646e-38
MSTRG.3499.1	4049.1759110769	-3.43417533968525	0.275959920217148	-12.4444714181065	1.49873261016898e-35	4.77278212129268e-33
gene-J2S48_RS13825	2713.92351101304	3.63714596491554	0.294614197602112	12.3454537986239	5.15427944201464e-35	1.50462007378144e-32
MSTRG.1235.1	7313.10096313686	-3.61387530426859	0.297386463762546	-12.1521176806291	5.58986763222313e-34	1.5062543319752e-31
gene-J2S48_RS00300	1287.44130367662	-3.94060721829906	0.324971280159728	-12.1260168478956	7.68997309234632e-34	1.92414112446351e-31
gene-J2S48_RS21085	1023.71707547629	-4.09597536454693	0.344548978691419	-11.8879335533173	1.36748141132455e-32	3.19352492257993e-30
gene-J2S48_RS02320	382.006073064233	-5.13373323429104	0.435573661717696	-11.7861424725407	4.60138060901442e-32	1.00741476708609e-29
gene-J2S48_RS18870	3790.70479426562	-3.49112551340347	0.297407215178251	-11.7385367107219	8.08735991287769e-32	1.6664718691065e-29
gene-J2S48_RS10185	45247.2998548647	6.05033456097388	0.528794797090626	11.4417437430591	2.58634354825506e-30	5.03331191640971e-28
gene-J2S48_RS13845	3299.89762144301	3.11753370173934	0.273842032557393	11.3844236132229	4.99977332451971e-30	8.81278468446215e-28
gene-J2S48_RS02120	350.654888207107	-4.65100776596154	0.408561178134198	-11.3838710452167	5.03156419324131e-30	8.81278468446215e-28
gene-J2S48_RS20595	2320.37298380218	3.42201822756371	0.301320316304228	11.3567457698692	6.86546468164147e-30	1.14522489427572e-27
gene-J2S48_RS14420	4456.22097244858	-3.61020345238773	0.321321436289314	-11.2354889673067	2.72978313430704e-29	4.34655923612616e-27
gene-J2S48_RS20105	409.630729458551	-4.04299134161858	0.36560854599801	-11.0582517445875	1.99956908193999e-28	3.04543064958077e-26
gene-J2S48_RS20885	1563.75251805243	-3.96095476123026	0.35908063329355	-11.030822589622	2.71371455538604e-28	3.96089253646554e-26
gene-J2S48_RS16725	409.29570477761	-4.30141957556582	0.394120707185574	-10.9139649278577	9.88488585716322e-28	1.38507020630571e-25
gene-J2S48_RS12905	582.293079247695	-3.93508463207601	0.364334941468929	-10.8007335673337	3.41464476003102e-27	4.60057715168795e-25
MSTRG.3234.1	569.802485274414	-3.65274413378866	0.341327877914599	-10.7015698691408	1.00068307017707e-26	1.29829362771492e-24
gene-J2S48_RS20880	578.393541863501	-4.42047262967059	0.413697980482973	-10.685265189136	1.19307589294622e-26	1.49262316178236e-24
MSTRG.1650.1	44112.4032221786	-6.00406223837827	0.570145152397933	-10.5307608301609	6.23286471782427e-26	7.52887072639256e-24
gene-J2S48_RS04025	488.226831309275	-4.23041167885822	0.40317389999445	-10.4927716772253	9.32520064339298e-26	1.08887259512685e-23
gene-J2S48_RS16555	20120.288532667	-4.71115250399829	0.449941812967893	-10.4705816801571	1.17916186060436e-25	1.33245290248293e-23
gene-J2S48_RS25950	1236.58847563249	3.09940346822424	0.29620911967548	10.4635653069017	1.269855872792e-25	1.39009535074699e-23
gene-J2S48_RS17270	5374.8117468712	3.45172182955429	0.331009016593599	10.4278785668011	1.84971882632217e-25	1.9635045601838e-23
gene-J2S48_RS25930	570.277755219053	3.92227281873803	0.378445536445671	10.3641672077195	3.60888315723656e-25	3.71821108817637e-23
gene-J2S48_RS25910	860.097846037744	-4.15734642733798	0.402313469029671	-10.3335999099532	4.96610927469859e-25	4.97036593979119e-23
MSTRG.487.1	5097.20610955549	-3.39965904252856	0.331342943912834	-10.2602427635305	1.06438814283281e-24	1.03570879565093e-22
MSTRG.72.1	3243.92700325759	2.61333909583474	0.254976051931762	10.2493511686114	1.19140586783296e-24	1.1279715554105e-22
gene-J2S48_RS16800	449.877087726002	4.18469388968808	0.40861345922965	10.2412042363396	1.29612923014259e-24	1.19482649820776e-22
gene-J2S48_RS13780	894.074804665993	3.31594596608562	0.324735104740815	10.211233456673	1.76605332049918e-24	1.58627814915606e-22
gene-J2S48_RS25310	2137.54820684477	2.92296148275552	0.287215835909293	10.1768813460503	2.5149239487569e-24	2.20244464812385e-22
