#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
Prokka_on_dataset_32__gbk	GCDIBACK_1	304850	305698	+	L1_beta-lactamase	37-888/888	========/======	5/13	95.05	85.18	card	AJ272109:0-888	L1 is an Ambler class B MBL; subclass B3 originally isolated from Stenotrophomonas maltophilia.  It has activity against a broad range of beta-lactams and is only active with two Zn(II) ions in the active site.	cephalosporin
Prokka_on_dataset_32__gbk	GCDIBACK_2	370099	371283	+	smeD	1-1185/1185	===============	0/0	100.00	95.61	card	AJ252200:81-1266	smeD is the membrane fusion protein of the smeDEF multidrug efflux complex in Stenotrophomonas maltophilia	fluoroquinolone;macrolide;phenicol;tetracycline
Prokka_on_dataset_32__gbk	GCDIBACK_2	371296	374418	+	smeE	1-3123/3123	===============	0/0	100.00	96.48	card	AJ252200:1278-4401	smeE is the RND protein of the efflux complex smeDEF in Stenotrophomonas maltophilia	fluoroquinolone;macrolide;phenicol;tetracycline
Prokka_on_dataset_32__gbk	GCDIBACK_2	374476	375872	+	smeF	1-1397/1401	===============	0/0	99.71	92.56	card	AJ252200:4493-5894	smeF is an outer membrane multidrug efflux protein of the smeDEF complex in Stenotrophomonas maltophilia	fluoroquinolone;macrolide;phenicol;tetracycline
Prokka_on_dataset_32__gbk	GCDIBACK_7	164342	165029	-	smeR	1-688/690	===============	0/0	99.71	93.46	card	AF173226.1:1041-351	smeR is the responder component of a two component signal transduction system that includes smeS	aminoglycoside;cephalosporin;cephamycin;penam
Prokka_on_dataset_32__gbk	GCDIBACK_7	165026	166428	-	smeS	1-1404/1404	========/======	1/1	99.93	91.31	card	AF173226:2441-1037	smeS is the protein kinase sensor component of a two component signal transduction system that includes smeR	aminoglycoside;cephalosporin;cephamycin;penam
Prokka_on_dataset_32__gbk	GCDIBACK_7	166546	167742	+	smeA	1-1197/1197	========/======	2/2	99.92	89.98	card	AF173226:2558-3755	smeA is the membrane fusion protein of the smeABC multidrug efflux complex in Stenotrophomonas maltophilia	aminoglycoside;cephalosporin;cephamycin;penam
Prokka_on_dataset_32__gbk	GCDIBACK_7	167755	170904	+	smeB	1-3150/3150	===============	0/0	100.00	93.78	card	AF173226:3767-6917	smeB is the inner membrane multidrug exporter of the efflux complex smeABC in Stenotrophomonas maltophilia	aminoglycoside;cephalosporin;cephamycin;penam
Prokka_on_dataset_32__gbk	GCDIBACK_7	170901	172315	+	smeC	1-1415/1416	===============	0/0	99.93	91.31	card	AF173226:6913-8329	smeC is an outer membrane multidrug efflux protein of the smeABC complex in Stenotrophomonas maltophilia	aminoglycoside;cephalosporin;cephamycin;penam
Prokka_on_dataset_32__gbk	GCDIBACK_9	136148	136929	-	APH(3')-IIc	23-804/804	========/======	4/6	96.89	81.66	card	HQ424460:1-805	APH(3')-IIc is a chromosomal-encoded aminoglycoside phosphotransferase in S. maltophilia	aminoglycoside
