#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
Prokka_on_dataset_31__gbk	JOAMGBGG_1	645833	646687	-	srtC	1-855/855	===============	0/0	100.00	99.53	vfdb	NP_814824	(srtC) sortase [Ebp pili (VF0538)] [Enterococcus faecalis V583]	
Prokka_on_dataset_31__gbk	JOAMGBGG_1	646781	648664	-	ebpC	1-1878/1878	========/======	1/6	100.00	99.05	vfdb	NP_814823	(ebpC) endocarditis and biofilm-associated pilus major subunit EbpC [Ebp pili (VF0538)] [Enterococcus faecalis V583]	
Prokka_on_dataset_31__gbk	JOAMGBGG_1	648661	650091	-	ebpB	1-1431/1431	===============	0/0	100.00	99.37	vfdb	NP_814822	(ebpB) endocarditis and biofilm-associated pilus minor subunit EbpB [Ebp pili (VF0538)] [Enterococcus faecalis V583]	
Prokka_on_dataset_31__gbk	JOAMGBGG_1	650095	653406	-	ebpA	1-3312/3312	===============	0/0	100.00	99.31	vfdb	NP_814821	(ebpA) endocarditis and biofilm-associated pilus tip protein EbpA [Ebp pili (VF0538)] [Enterococcus faecalis V583]	
Prokka_on_dataset_31__gbk	JOAMGBGG_2	118645	119457	-	cpsK	1-813/813	===============	0/0	100.00	100.00	vfdb	NP_816131	(cpsK) ABC transporter permease protein [Capsule (VF0361)] [Enterococcus faecalis V583]	
Prokka_on_dataset_31__gbk	JOAMGBGG_2	119457	120799	-	cpsJ	1-1344/1344	========/======	1/1	99.93	98.81	vfdb	NP_816132	(cpsJ) ABC transporter ATP-binding protein [Capsule (VF0361)] [Enterococcus faecalis V583]	
Prokka_on_dataset_31__gbk	JOAMGBGG_2	120825	121964	-	cpsI	1-1140/1140	===============	0/0	100.00	99.65	vfdb	NP_816133	(cpsI) UDP-galactopyranose mutase [Capsule (VF0361)] [Enterococcus faecalis V583]	
Prokka_on_dataset_31__gbk	JOAMGBGG_2	122023	122421	-	cpsH	1-399/399	===============	0/0	100.00	100.00	vfdb	NP_816134	(cpsH) lipoprotein [Capsule (VF0361)] [Enterococcus faecalis V583]	
Prokka_on_dataset_31__gbk	JOAMGBGG_2	122439	124892	-	cpsG	1-2454/2454	===============	0/0	100.00	99.84	vfdb	NP_816135	(cpsG) MurB family protein [Capsule (VF0361)] [Enterococcus faecalis V583]	
Prokka_on_dataset_31__gbk	JOAMGBGG_2	124919	125770	-	cpsF	1-852/852	===============	0/0	100.00	99.77	vfdb	NP_816136	(cpsF) CpsF protein [Capsule (VF0361)] [Enterococcus faecalis V583]	
Prokka_on_dataset_31__gbk	JOAMGBGG_2	125794	128304	-	cpsE	1-2511/2511	===============	0/0	100.00	100.00	vfdb	NP_816137	(cpsE) glycosyl transferase group 2 family protein [Capsule (VF0361)] [Enterococcus faecalis V583]	
Prokka_on_dataset_31__gbk	JOAMGBGG_2	128374	129840	-	cpsD	1-1467/1467	===============	0/0	100.00	100.00	vfdb	NP_816138	(cpsD) glycosyl transferase group 2 family protein [Capsule (VF0361)] [Enterococcus faecalis V583]	
Prokka_on_dataset_31__gbk	JOAMGBGG_2	129859	131028	-	cpsC	1-1170/1170	===============	0/0	100.00	99.92	vfdb	NP_816139	(cpsC) teichoic acid biosynthesis protein putative [Capsule (VF0361)] [Enterococcus faecalis V583]	
Prokka_on_dataset_31__gbk	JOAMGBGG_2	131501	132301	-	cpsB	1-801/801	===============	0/0	100.00	99.38	vfdb	NP_816140	(cpsB) phosphatidate cytidylyltransferase [Capsule (VF0361)] [Enterococcus faecalis V583]	
Prokka_on_dataset_31__gbk	JOAMGBGG_2	132298	133113	-	cpsA	1-816/816	===============	0/0	100.00	99.27	vfdb	NP_816141	(cpsA) undecaprenyl diphosphate synthase [Capsule (VF0361)] [Enterococcus faecalis V583]	
Prokka_on_dataset_31__gbk	JOAMGBGG_2	141329	145636	-	fss2	1-4305/4956	========/=====.	3/5	86.84	95.96	vfdb	NP_816151	(fss2) Enterococcus faecalis surface protein Fss2 fibrinogen binding protein [Fibrinogen binding protein (AI272)] [Enterococcus faecalis V583]	
Prokka_on_dataset_31__gbk	JOAMGBGG_26	13505	14588	+	fsrC	261-1344/1344	..=============	0/0	80.65	99.35	vfdb	NP_815517	(fsrC) histidine kinase putative [Fsr (VF0360)] [Enterococcus faecalis V583]	
Prokka_on_dataset_31__gbk	JOAMGBGG_26	14823	16355	+	gelE	1-1533/1533	===============	0/0	100.00	98.96	vfdb	NP_815516	(gelE) coccolysin [Gelatinase (VF0357)] [Enterococcus faecalis V583]	
Prokka_on_dataset_31__gbk	JOAMGBGG_26	16404	17258	+	sprE	1-855/855	===============	0/0	100.00	98.25	vfdb	NP_815515	(sprE) serine proteinase V8 family [SprE (VF0358)] [Enterococcus faecalis V583]	
Prokka_on_dataset_31__gbk	JOAMGBGG_28	542	742	-	cylR2	1-201/201	===============	0/0	100.00	100.00	vfdb	AAM75247	(cylR2) cytolysin regulator R2 [Cytolysin (VF0356)] [Enterococcus faecalis str. MMH594]	
Prokka_on_dataset_31__gbk	JOAMGBGG_28	743	1027	-	cylR1	1-285/285	===============	0/0	100.00	100.00	vfdb	AAM75248	(cylR1) cytolysin regulator R1 [Cytolysin (VF0356)] [Enterococcus faecalis str. MMH594]	
Prokka_on_dataset_31__gbk	JOAMGBGG_28	1146	1352	+	cylL	1-207/207	===============	0/0	100.00	100.00	vfdb	AAM75249	(cylL) CylL; cytolysin subunit [Cytolysin (VF0356)] [Enterococcus faecalis str. MMH594]	
Prokka_on_dataset_31__gbk	JOAMGBGG_28	1386	1577	+	cylS	1-192/192	===============	0/0	100.00	100.00	vfdb	AAM75250	(cylS) CylS; cytolysin subunit [Cytolysin (VF0356)] [Enterococcus faecalis str. MMH594]	
Prokka_on_dataset_31__gbk	JOAMGBGG_28	1638	4619	+	cylM	1-2982/2982	===============	0/0	100.00	99.70	vfdb	AAM75251	(cylM) CylM; cytolysin subunit modifier [Cytolysin (VF0356)] [Enterococcus faecalis str. MMH594]	
Prokka_on_dataset_31__gbk	JOAMGBGG_28	4631	6775	+	cylB	1-2145/2145	===============	0/0	100.00	99.81	vfdb	AAM75252	(cylB) ABC-type transporter [Cytolysin (VF0356)] [Enterococcus faecalis str. MMH594]	
Prokka_on_dataset_31__gbk	JOAMGBGG_28	6772	8010	+	cylA	1-1239/1239	===============	0/0	100.00	99.84	vfdb	AAM75253	(cylA) cytolysin activator [Cytolysin (VF0356)] [Enterococcus faecalis str. MMH594]	
Prokka_on_dataset_31__gbk	JOAMGBGG_28	8011	8994	+	cylI	1-984/984	===============	0/0	100.00	97.15	vfdb	AAM75254	(cylI) cytolysin immunity protein [Cytolysin (VF0356)] [Enterococcus faecalis str. MMH594]	
